scale_id,item_id,clinical_label,patient_prompt,help_text,input_type,score_true,score_false,requires_clinician,option_value,option_label,option_points
wells-dvt,wells-dvt.cancer,活动性癌症（近6个月接受治疗或姑息治疗）,过去6个月内您是否因癌症接受过治疗（含化疗、放疗或姑息治疗）？,如不确定请咨询主治医生,boolean,1,0,FALSE,,,
wells-dvt,wells-dvt.paralysis,瘫痪、轻瘫或近期下肢石膏固定,您是否瘫痪、轻瘫或近期下肢打了石膏固定？,,boolean,1,0,FALSE,,,
